MAK'S,Redmi,X,Y
-39,-68,2,2
-38,-69,2,2
-38,-71,2,2
-38,-71,2,2
-37,-69,2,2
-38,-69,2,2
-38,-69,2,2
-38,-68,2,2
-38,-71,2,2
-38,-68,2,2
-38,-67,2,2
-37,-67,2,2
-37,-67,2,2
-37,-66,2,2
-38,-67,2,2
-37,-68,2,2
-35,-66,2,2
-37,-68,2,2
-37,-68,2,2
-37,-68,2,2
-37,-70,2,2
-39,-87,2,2
-40,-73,2,2
-41,-70,2,2
-39,-71,2,2
-72,-61,14,6
-65,-64,14,6
-69,-61,14,6
-67,-59,14,6
-74,-58,14,6
-78,-58,14,6
-71,-60,14,6
-70,-58,14,6
-74,-57,14,6
-74,-58,14,6
-73,-57,14,6
-67,-57,14,6
-73,-59,14,6
-70,-59,14,6
-71,-60,14,6
-68,-58,14,6
-71,-74,14,6
-75,-67,14,6
-69,-58,14,6
-68,-60,14,6
-68,-63,14,6
-71,-58,14,6
-68,-60,14,6
-67,-61,14,6
-56,-70,14,2
-59,-66,14,2
-58,-69,14,2
-59,-72,14,2
-58,-71,12,1
-57,-68,12,1
-57,-69,12,1
-56,-83,12,1
-58,-70,12,1
-58,-67,12,1
-61,-70,12,1
-58,-69,12,1
-59,-68,12,1
-59,-70,12,1
-59,-70,12,1
-60,-67,12,1
-59,-69,12,1
-58,-69,12,1
-57,-66,12,1
-58,-69,12,1
-60,-72,12,1
-58,-71,12,1
-60,-67,12,1
-59,-70,12,1
-61,-70,12,1
-61,-70,5,7
-61,-69,5,7
-62,-67,5,7
-59,-74,5,7
-58,-71,5,7
-61,-68,5,7
-60,-69,5,7
-60,-67,5,7
-59,-69,5,7
-60,-71,5,7
-60,-68,5,7
-59,-67,5,7
-57,-67,5,7
-59,-67,5,7
-57,-69,5,7
-59,-68,5,7
-60,-68,5,7
-62,-69,5,7
-62,-71,5,7
-59,-68,5,7
-59,-71,5,7
-58,-69,5,7
-58,-69,5,7
-59,-70,5,7
-60,-72,5,7
-59,-72,5,7
-59,-74,5,7
-58,-75,5,7
-59,-70,5,7
